species,stressor,vuln,iucn_sid,src,map_f
acropora abrolhosensis,sea_level_rise,0.23708,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,sst_rise,0.71843,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,storm_disturbance,0.18962,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,uv_radiation,0.38438,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrolhosensis,wildlife_strike,0,133133,iucn,species_ranges/iucn_spp_mol_133133.csv
acropora abrotanoides,biomass_removal,0.71843,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,biomass_removal,0.71843,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,biomass_removal,0.71843,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,bycatch,0.33422,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,bycatch,0.33422,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,bycatch,0.33422,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,entanglement_macroplastic,0.09748,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,entanglement_macroplastic,0.09748,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,entanglement_macroplastic,0.09748,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,eutrophication_nutrient_pollution,0.59673,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,eutrophication_nutrient_pollution,0.59673,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,eutrophication_nutrient_pollution,0.59673,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,habitat_loss_degradation,0.38435,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,habitat_loss_degradation,0.38435,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
acropora abrotanoides,habitat_loss_degradation,0.38435,133649,iucn,species_ranges/iucn_spp_mol_133649.csv
acropora abrotanoides,inorganic_pollution,0.47826,132906,iucn,species_ranges/iucn_spp_mol_132906.csv
acropora abrotanoides,inorganic_pollution,0.47826,133030,iucn,species_ranges/iucn_spp_mol_133030.csv
